+----------+------------------------+-------+--------------+---------------+-----------+--------------------+--------------------------------------------------------------+--------------------------------------------------------------+--------------------------------------------------------------+---------------+--------+
| spell_id |       spell_name       | level | casting_time |   duration    |  school   |       range        |                          components                          |                         description                          |                        upcast_effect                         | concentration | ritual |
+----------+------------------------+-------+--------------+---------------+-----------+--------------------+--------------------------------------------------------------+--------------------------------------------------------------+--------------------------------------------------------------+---------------+--------+
| 27       | Blade Barrier          | 6     | Action       | Up to 10 min. | Evocation | 90 Ft.             | V, S                                                         | You create a vertical wall of whirling, razor-sharp blades m |                                                              | 1             | 0      |
|          |                        |       |              |               |           |                    |                                                              | ade of magical energy. The wall appears within range and las |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ts for the duration. You can make a straight wall up to 100  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | feet long, 20 feet high, and 5 feet thick, or a ringed wall  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | up to 60 feet in diameter, 20 feet high, and 5 feet thick. T |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | he wall provides three-quarters cover to creatures behind it |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | , and its space is difficult terrain.When a creature enters  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | the wall's area for the first time on a turn or starts its t |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | urn there, the creature must make a Dexterity saving throw.  |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | On a failed save, the creature takes 6d10 slashing damage. O |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | n a successful save, the creature takes half as much damage. |                                                              |               |        |
+----------+------------------------+-------+--------------+---------------+-----------+--------------------+--------------------------------------------------------------+--------------------------------------------------------------+--------------------------------------------------------------+---------------+--------+
| 37       | Chain Lightning        | 6     | Action       | Instantaneous | Evocation | 150 Ft.            | V, S, M (a bit of fur; a piece of amber, glass, or a crystal | You create a bolt of lightning that arcs toward a target of  | When you cast this spell using a spell slot of 7th level or  | 0             | 0      |
|          |                        |       |              |               |           |                    |  rod; and three silver pins)                                 | your choice that you can see within range. Three bolts then  | higher, one additional bolt leaps from the first target to a |               |        |
|          |                        |       |              |               |           |                    |                                                              | leap from that target to as many as three other targets, eac | nother target for each slot level above 6th.                 |               |        |
|          |                        |       |              |               |           |                    |                                                              | h of which must be within 30 feet of the first target. A tar |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | get can be a creature or an object and can be targeted by on |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | ly one of the bolts.A target must make a Dexterity saving th |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | row. The target takes 10d8 lightning damage on a failed save |                                                              |               |        |
|          |                        |       |              |               |           |                    |                                                              | , or half as much damage on a successful one.                |                                                              |               |        |
+----------+------------------------+-------+--------------+---------------+-----------+--------------------+--------------------------------------------------------------+--------------------------------------------------------------+--------------------------------------------------------------+---------------+--------+
| 131      | Freezing Sphere        | 6     | Action       | Instantaneous | Evocation | 300 Ft.            | V, S, M (a small crystal sphere)                             | A frigid globe of cold energy streaks from your fingertips t | When you cast this spell using a spell slot of 7th level or  | 0             | 0      |
|          |                        |       |              |               |           |                    |                                                              | o a point of your choice within range, where it explodes in  | higher, the damage increases by 1d6 for each slot level abov |               |        |
|          |                        |       |              |               |           |                    |                                                              | a 60-foot-radius sphere. Each creature within the area must  | e 6th.                                                       |               |        |
